               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11537,            0.035177,                   0,            0.050932,                0.05,           0.0071149,          0.00098818,             0.10151,            0.028036,                   0,             0.00024,             0.00024,             0.09784
                   1,              0.1033,             0.03642,                   0,             0.02318,              0.0625,            0.008013,           0.0017149,            0.089231,            0.027702,                   0,          0.00048989,          0.00048989,             0.09559
                   2,            0.092594,            0.034273,                   0,            0.012591,              0.2625,           0.0086672,           0.0016085,            0.080585,            0.028371,                   0,          0.00073934,          0.00073934,            0.093339
                   3,            0.085074,            0.035979,                   0,            0.038327,              0.4375,            0.029082,            0.007469,            0.072011,            0.028097,                   0,          0.00098802,          0.00098802,            0.091088
                   4,            0.077649,            0.043853,                   0,            0.079508,                 0.3,            0.050889,            0.013618,            0.064287,            0.027587,                   0,           0.0012356,           0.0012356,            0.088836
                   5,            0.067635,            0.038215,                   0,             0.26131,              0.4125,             0.20531,            0.070559,            0.056754,            0.027165,                   0,           0.0014817,           0.0014817,            0.086582
                   6,            0.059944,            0.030056,                   0,             0.61641,              0.4625,             0.47216,             0.18095,            0.052621,            0.025291,                   0,           0.0017261,           0.0017261,            0.084326
                   7,            0.060427,            0.035208,                   0,             0.72999,             0.57452,             0.66048,             0.25386,            0.046681,            0.023277,                   0,           0.0019684,           0.0019684,            0.082068
                   8,            0.059326,            0.033952,                   0,             0.60606,              0.4875,             0.50138,              0.1929,            0.054562,            0.019287,                   0,           0.0022083,           0.0022083,            0.079808
                   9,            0.054406,            0.026626,                   0,             0.44464,              0.4625,              0.3881,             0.08734,            0.062068,            0.016572,                   0,           0.0024455,           0.0024455,            0.077546
                  10,            0.059463,            0.025926,                   0,             0.65058,              0.6125,             0.64244,             0.29394,            0.046845,            0.016311,                   0,           0.0026797,           0.0026797,             0.07528
                  11,            0.058312,            0.029115,                   0,             0.77363,             0.81169,             0.83706,             0.44839,            0.047103,            0.014579,                   0,           0.0029105,           0.0029105,             0.07301
                  12,            0.056755,             0.02511,                   0,             0.65935,             0.77423,             0.74617,             0.26336,            0.047522,            0.013424,                   0,           0.0031376,           0.0031376,            0.070738
                  13,            0.058896,            0.028084,                   0,             0.49481,                 0.6,             0.57038,             0.15688,            0.052425,            0.013628,                   0,           0.0033608,           0.0033608,            0.068461
                  14,            0.058869,            0.022202,                   0,             0.76753,              0.7125,             0.76827,             0.18634,            0.059518,            0.012929,                   0,           0.0035798,           0.0035798,             0.06618
                  15,            0.062569,             0.02237,                   0,             0.58815,               0.825,             0.64644,             0.23984,            0.049109,            0.013482,                   0,           0.0037943,           0.0037943,            0.063894
                  16,            0.052572,            0.020638,                   0,             0.56935,              0.7125,             0.68264,             0.31217,            0.048619,             0.01238,                   0,            0.004004,            0.004004,            0.061604
                  17,            0.055024,            0.019533,                   0,             0.38837,                0.85,             0.57817,             0.15476,            0.055749,            0.011626,                   0,           0.0042086,           0.0042086,            0.059309
                  18,            0.062144,            0.016405,                   0,               0.489,             0.57417,               0.547,             0.19795,            0.060337,            0.011691,                   0,            0.004408,            0.004408,            0.057008
                  19,            0.054256,            0.021674,                   0,             0.77758,             0.78663,              0.8664,             0.47668,            0.047815,            0.012981,                   0,           0.0046017,           0.0046017,            0.054702
                  20,            0.054311,            0.020096,                   0,              0.9154,             0.81152,             0.91656,             0.54242,            0.046983,            0.012309,                   0,           0.0047897,           0.0047897,             0.05239
                  21,             0.05563,            0.017247,                   0,             0.71915,               0.775,             0.81434,             0.47447,            0.044842,            0.012393,                   0,           0.0049716,           0.0049716,            0.050072
                  22,            0.050027,             0.02263,                   0,             0.45691,                 0.8,             0.49243,             0.12572,            0.050952,            0.010572,                   0,           0.0051472,           0.0051472,            0.047747
                  23,            0.063072,            0.019389,                   0,             0.85118,             0.78647,             0.88069,             0.29046,            0.051996,           0.0099737,                   0,           0.0053164,           0.0053164,            0.045416
                  24,            0.060349,            0.020777,                   0,             0.58503,              0.8125,              0.6219,             0.28594,            0.050806,           0.0094123,                   0,           0.0054789,           0.0054789,            0.043079
                  25,            0.051776,            0.016661,                   0,             0.58223,                0.75,             0.60835,             0.21783,            0.055268,           0.0087599,                   0,           0.0056346,           0.0056346,            0.040735
                  26,            0.053788,            0.018616,                   0,             0.61999,             0.77496,             0.65196,             0.28672,            0.043772,           0.0096165,                   0,           0.0057832,           0.0057832,            0.038383
                  27,            0.058313,            0.017648,                   0,              0.4654,               0.925,             0.60087,             0.27941,            0.048162,            0.009624,                   0,           0.0059247,           0.0059247,            0.036025
                  28,            0.052525,            0.016348,                   0,              0.7565,              0.7875,             0.76712,             0.38009,            0.052999,            0.010412,                   0,           0.0060587,           0.0060587,            0.033659
